ID	Frameset	Arg	Func	Descr
3402	carve_out.03	ARG2	DIR	material, start state
3403	carve_out.03	ARG3	GOL	benefactive
3404	carve_out.03	ARG4	PRD	end state
3405	cascade.01	ARG1	PPT	water-ish
3406	case.01	ARG0	PAG	packer
3407	case.01	ARG1	PPT	thing packed
3408	case.01	ARG2	GOL	case, location
3409	case.02	ARG0	PAG	Thief or spy
3410	case.02	ARG1	PPT	Place being observed
3411	case.03	ARG0	PAG	authority making a case
3412	case.03	ARG1	PPT	the argument
3413	case.03	ARG2	GOL	against whom
3414	case.04	ARG1	PPT	instance of, thing happenening or occuring, example
3415	case.04	ARG2	VSP	category
3416	cash.01	ARG0	PAG	casher
3417	cash.01	ARG1	PPT	check
3418	cash_in.02	ARG0	PAG	quitter
3419	cash_in.02	ARG1	PPT	chips
3420	cash_in.03	ARG0	PAG	taker of advantage
3421	cash_in.03	ARG1	PPT	thing exploited
3422	cassette.01	ARG0	PAG	Cause of transfer to cassette
3423	cassette.01	ARG1	PPT	thing now on cassette
3424	cast.01	ARG0	PAG	thrower
3425	cast.01	ARG1	PPT	thing thrown
3426	cast.01	ARG2	GOL	destination
3427	cast.02	ARG0	PAG	namer, assigner of a role
3428	cast.02	ARG1	PPT	entity playing the role
3429	cast.02	ARG2	PRD	role
3430	cast.03	ARG0	PAG	foundry worker, agent
3431	cast.03	ARG1	PRD	final product
3432	cast.03	ARG2	VSP	material used
3433	cast.04	ARG0	PAG	doctor
3434	cast.04	ARG1	PPT	patient, bone set
3435	cast.04	ARG2	MNR	material used
3436	castigate.01	ARG0	PAG	assigner of blame
3437	castigate.01	ARG1	PPT	guilty party
3438	castigate.01	ARG2	PRD	crime
3439	castle.01	ARG0	PAG	chess player
3440	castrate.01	ARG0	PAG	causer of weakening
3441	castrate.01	ARG1	PPT	thing weakened
3442	castrate.02	ARG0	PAG	editor
3443	castrate.02	ARG1	PPT	Thing edited
3444	castrate.03	ARG0	PAG	Castrator
3445	castrate.03	ARG1	PPT	Spayed/neutered entity
3446	casual.01	ARG0	PAG	entity acting non-chalant
3447	casual.01	ARG1	PPT	everday, non-formal thing
3448	casualties.01	ARG0	CAU	cause of death, accident
3449	casualties.01	ARG1	PPT	deceased
3450	catalogue.01	ARG0	PAG	creator of catalogue, agent
3451	catalogue.01	ARG1	PPT	thing catalogued, entry
3452	catalogue.01	ARG2	GOL	catalogue itself, or category arg1 is placed in
3453	catalyze.01	ARG0	PAG	agent
3454	catalyze.01	ARG1	PPT	resultant state
3455	catapult.01	ARG0	CAU	thrower
3456	catapult.01	ARG1	PPT	thing thrown
3457	catapult.01	ARG2	PRD	thrown at, to, over, etc
3458	catastrophic.01	ARG0	PAG	Catastrophic thing, stimulus
3459	catastrophic.01	ARG1	PPT	Catastrophic to whom? Affected entity
3460	catch.01	ARG0	PAG	receiver
3461	catch.01	ARG1	PPT	thing gotten
3462	catch.01	ARG2	DIR	giver
3463	catch.02	ARG0	PAG	events, usually
3464	catch.02	ARG1	PPT	entity
3465	catch.02	ARG2	PRD	attribute
3466	catch.03	ARG0	PAG	trapper
3467	catch.03	ARG1	PPT	trapped
3468	catch.03	ARG2	MNR	trap, either place or instrument
3469	catch.08	ARG1	PPT	the catch
3470	catch.08	ARG2	VSP	domain in which there is a condition/drawback
3471	catch.22	ARG1	PAG	entity facing a dilemma
3472	catch.22	ARG2	PPT	domain in which there is a dilemma
3473	catch.22	ARG3	PPT	the details of the dilemma
3474	catch_up.04	ARG1	PPT	entity in motion
3475	catch_up.04	ARG2	GOL	goal
3476	catch_up.07	ARG0	PAG	causer
3477	catch_up.07	ARG1	PPT	entity becomeing caught
3478	catch_up.07	ARG2	GOL	trap
3479	catch_on.05	ARG1	PPT	thing becoming popular
3480	catch_on.05	ARG2	PPT	popular with whom?
3481	catch_on.06	ARG0	PAG	aware entity
3482	catch_on.06	ARG1	PPT	aware of what?
3483	catechize.01	ARG0	PAG	questioner
3484	catechize.01	ARG1	PPT	one being questioned
3485	categorize.01	ARG0	PAG	assigner
3486	categorize.01	ARG1	PPT	thing assigned
3487	categorize.01	ARG2	GOL	category
3488	cater.01	ARG0	PAG	caterer
3489	cater.01	ARG1	PPT	thing (event?) catered
3490	cater.01	ARG2	GOL	benefactive
3491	catheterize.101	ARG0	PAG	Doctor
3492	catheterize.101	ARG1	PPT	Patient/Body part
3493	catholicize.01	ARG0	PAG	agent, catholicizing entity
3494	catholicize.01	ARG1	PPT	entity catholicized
3495	catnap.01	ARG0	PAG	Napper
3496	catnap.01	ARG1	PPT	Cognate object, mention of sleep itself (probably rare)
3497	catty.01	ARG0	PAG	agent of catty behavior; the cat
3498	catty.01	ARG1	PPT	catty action/behavior
3499	catty.01	ARG2	GOL	affected entity, target of catty behavior
3500	caucus.01	ARG0	PAG	party meeting
3501	caudal.01	ARG1	PPT	entity in back, topic
3502	caudal.01	ARG2	PPT	entity in front
3503	cause.01	ARG0	CAU	forcer, causer
3504	cause.01	ARG1	PPT	impelled action
3505	cauterize.01	ARG0	PAG	agent, cause
3506	cauterize.01	ARG1	PPT	entity being cauterized
3507	cauterize.01	ARG2	MNR	instrument
3508	caution.01	ARG0	PAG	Sayer
3509	caution.01	ARG1	PPT	Utterance
3510	caution.01	ARG2	GOL	Hearer
3511	cautious.02	ARG0	PAG	careful one
3512	cautious.02	ARG1	PPT	cautious of what? regarding what?
3513	cave.01	ARG1	PAG	thing caving
3514	cave_in.02	ARG1	PPT	thing caving in
3515	cavitate.01	ARG0	PAG	cause of cavity formation, disease
3516	cavitate.01	ARG1	PPT	entity now with a hole
3517	cavort.01	ARG1	PPT	entity moving, cavorter
3518	cavort.01	ARG2	DIR	start point
3519	cavort.01	ARG3	GOL	end point
3520	cavort.01	ARG4	DIR	location, path
3521	caw.01	ARG0	PAG	cawer
3522	cba.01	ARG1	PAG	entity who can't be bothered.
3523	cbc.01	ARG0	PAG	examiner (agent)
3524	cbc.01	ARG1	LOC	examined (patient)
3525	cbc.01	ARG2	PPT	in search of, for what (theme)
3526	cbc.01	ARG3	PRD	findings/results
3527	cc.01	ARG0	PAG	copier; email author
3528	cc.01	ARG1	PPT	thing copied or sent multiple places
3529	cc.01	ARG2	GOL	beneficiary
3530	cease.01	ARG0	PAG	causer of ceasing, Agent
3531	cease.01	ARG1	PPT	Theme (action or object being stopped)
3532	cease.01	ARG2	MNR	Instrument
3533	ceasefire.01	ARG0	PAG	implementer of cease-fire
3534	ceasefire.01	ARG1	PPT	cease-fire with or between who?
3535	cecectomy.01	ARG0	PAG	surgeon
3536	cecectomy.01	ARG1	PPT	removed
3537	cecectomy.01	ARG2	SRC	removed from
3538	cede.01	ARG0	PAG	giver
3539	cede.01	ARG1	PPT	gift
3540	cede.01	ARG2	GOL	recipient
3541	celebrate.01	ARG0	PAG	honorer
3542	celebrate.01	ARG1	PPT	honored
3543	celebrate.01	ARG2	PRD	for what reason
3544	celebrate.02	ARG0	PAG	celebrator(s)
3545	celebrate.02	ARG1	PPT	party, occasion
3546	celiotomy.01	ARG0	PAG	surgeon
3547	celiotomy.01	ARG1	PPT	patient
3548	cellar.01	ARG0	PAG	storer
3549	cellar.01	ARG1	PPT	thing stored
3550	cellar.01	ARG2	GOL	cellar, location
3551	cellular.01	ARG1	PPT	topic, entit composed of cells
3552	cement.01	ARG0	PAG	causer of connection, agent
3553	cement.01	ARG1	PPT	entity cemented
3554	censor.01	ARG0	PAG	censor
3555	censor.01	ARG1	PPT	entity censored
3556	censure.01	ARG0	PAG	condemner
3557	censure.01	ARG1	PPT	entity censured
3558	censure.01	ARG2	PRD	for what
3559	census.01	ARG0	PAG	counter
3560	census.01	ARG1	PPT	counted
3561	center.01	ARG0	PAG	agent
3562	center.01	ARG1	SE1	thing centered
3563	center.01	ARG2	SE2	centered on
3564	center.02	ARG1	PPT	politically/socially centrist entity
3565	center.02	ARG2	PPT	domain or topic of centrism
3566	centralize.01	ARG0	PAG	collector
3567	centralize.01	ARG1	PPT	thing(s) collected
3568	ceremony.01	ARG0	PAG	official
3569	ceremony.01	ARG1	PRP	act, purpose, event, ceremony itself
3570	ceremony.01	ARG2	GOL	celebrant, benefactive, or recipient
3571	certain.01	ARG0	PAG	sure entity
3572	certain.01	ARG1	PPT	sure of what?
3573	certify.01	ARG0	PAG	confirmer, declarer, agent
3574	certify.01	ARG1	PPT	entity certified
3575	certify.01	ARG2	PRD	secondary predicate
3576	cessate.01	ARG0	PAG	Causer of ceasing, Agent
3577	cessate.01	ARG1	PPT	Theme
3578	cessate.01	ARG2	MNR	Instrument
3579	chafe.01	ARG0	PAG	experiencer
3580	chafe.01	ARG1	PPT	target of emotion
3581	chaff.01	ARG0	PAG	agent, chaffer
3582	chaff.01	ARG1	PPT	patient, entity chaffed
3583	chagrin.01	ARG0	PAG	causer of embarrassment
3584	chagrin.01	ARG1	PPT	chagrined entity
3585	chagrin.01	ARG2	MNR	instrument, if separate from arg0
3586	chain.01	ARG0	PAG	causer of connection, agent
3587	chain.01	ARG1	PPT	(first) thing being chained
3588	chain.01	ARG2	PPT	subsequent things, if separate
3589	chain.01	ARG3	PRD	attribute on arg1
3590	chair.01	ARG0	PAG	chair
3591	chair.01	ARG1	PPT	institution
3592	chalk_up.01	ARG0	PAG	earner, agent
3593	chalk_up.01	ARG1	PPT	thing earned
3594	chalk_up.02	ARG0	PAG	attributer
3595	chalk_up.02	ARG1	PPT	thing attributed
3596	chalk_up.02	ARG2	GOL	attributed to whom/what
3597	challenge.01	ARG0	PAG	challenger
3598	challenge.01	ARG1	PPT	challenged (champion?)
3599	challenge.01	ARG2	PRD	challenged-to, heroic task
3600	champion.01	ARG0	PAG	helper
3601	champion.01	ARG1	GOL	person or project being supported
3602	championship.02	ARG0	PAG	champion/winner
3603	championship.02	ARG1	LOC	topic of contest
3604	championship.02	ARG2	PPT	loser(s)
3605	chance.01	ARG0	PAG	taker of risk, agent
3606	chance.01	ARG1	PPT	risk taken
3607	chance.02	ARG0	PAG	entity having an opportunity
3608	chance.02	ARG1	PPT	the opportunity or event
3609	chance.02	ARG2	VSP	likelihood
3610	change.01	ARG0	PAG	causer of transformation
3611	change.01	ARG1	PPT	thing changing
3612	change.01	ARG2	PRD	end state
3613	change.01	ARG3	VSP	start state
3614	channel.01	ARG0	PAG	director
3615	channel.01	ARG1	PPT	thing directed
3616	channel.01	ARG2	GOL	direction, towards what
3617	channel.01	ARG3	DIR	source
3618	channel.02	ARG0	PAG	cause of forming hollow
3619	channel.02	ARG1	PPT	channel, hollow formed
3620	channel.02	ARG2	LOC	formed where or carved into/out of what
3621	chant.01	ARG0	PAG	reciter, agent
3622	chant.01	ARG1	PPT	utterance
3623	chaotic.01	ARG1	PPT	chaotic entity
3624	chaperone.01	ARG0	PAG	entity acting as a chaperone
3625	chaperone.01	ARG1	GOL	person chaperoned, the chaperoned-for
3626	char.01	ARG0	PAG	bad cook, agent
3627	char.01	ARG1	PPT	partially-burnt thing
3628	characterize.01	ARG0	PAG	describer
3629	characterize.01	ARG1	PPT	thing described
3630	characterize.01	ARG2	PRD	secondary attribute, described-as
3631	characteristic.02	ARG1	PPT	possessor of quality, characteristic of whom (should come SECOND)
3632	characteristic.02	ARG2	PRD	quality, characteristic itself (should come FIRST)
3633	charbroil.01	ARG0	PAG	cook
3634	charbroil.01	ARG1	PPT	food
3635	charcoal.01	ARG0	PAG	artist
3636	charcoal.01	ARG1	PPT	thing drawn
3637	charcoal.01	ARG2	GOL	destination
3638	charge.01	ARG0	PAG	seller
3639	charge.01	ARG1	VSP	asking price
3640	charge.01	ARG2	GOL	buyer
3641	charge.01	ARG3	CAU	commodity
3642	charge.02	ARG0	PPT	entity in motion
3643	charge.02	ARG1	PPT	path
3644	charge.03	ARG0	PAG	supplier
3645	charge.03	ARG1	GOL	battery, usually
3646	charge.03	ARG2	PPT	instrument (defaults to electricity)
3647	charge.04	ARG0	PAG	buyer
3648	charge.04	ARG1	PPT	thing charged (amount, item)
3649	charge.04	ARG2	MNR	credit
3650	charge.05	ARG0	PAG	assigner
3651	charge.05	ARG1	PPT	assigned
3652	charge.05	ARG2	PRD	role or crime
3653	charge.06	ARG0	PAG	speaker
3654	charge.06	ARG1	PPT	utterance
3655	charge.08	ARG0	PAG	Person assigning responsibility (rare)
3656	charge.08	ARG1	PPT	Person that the responsibility is assigned to
3657	charge.08	ARG2	PRD	responsibility itself, role
3658	charge_off.07	ARG0	PAG	sender
3659	charge_off.07	ARG1	PPT	thing sent
3660	chariot.01	ARG0	PAG	agent, charioteer (transitive subject)
3661	chariot.01	ARG1	PPT	thing moved (intransitive subject, transitive object)
3662	chariot.01	ARG2	LOC	locations, or start point
3663	chariot.01	ARG3	LOC	destination
3664	charm.01	ARG0	PAG	charmer
3665	charm.01	ARG1	PPT	charmed thing(s) or person
3666	chart.01	ARG0	PAG	chart-maker
3667	chart.01	ARG1	PPT	thing being charted
3668	chart_out.02	ARG0	PAG	chart-maker
3669	chart_out.02	ARG1	PPT	thing being charted
3670	charter.01	ARG0	PAG	hirer, leaser, agent
3671	charter.01	ARG1	PPT	entity chartered
3672	charter.01	ARG2	GOL	task
3673	chase.01	ARG0	PAG	follower
3674	chase.01	ARG1	PPT	thing followed
3675	chasten.01	ARG0	PAG	admonisher, agent
3676	chasten.01	ARG1	PPT	entity become chaste (really)
3677	chastise.01	ARG0	PAG	chastiser, agent
3678	chastise.01	ARG1	PPT	entity being chastised
3679	chastise.01	ARG2	PRD	cause
3680	chat.01	ARG0	PAG	talker
3681	chat.01	ARG1	PPT	subject
3682	chat.01	ARG2	COM	hearer
3683	chatter.01	ARG0	PAG	emitter of noise, speaker
3684	chatter.01	ARG1	PPT	topic, if arg0 is speaker
3685	chatter_away.02	ARG0	PAG	chatterer
3686	chatter_away.02	ARG1	PPT	subject matter
3687	chauffeur.01	ARG0	PAG	driver
3688	chauffeur.01	ARG1	GOL	person chauffeured
3689	cheapen.01	ARG0	PAG	causer, agent
3690	cheapen.01	ARG1	PPT	thing losing value
3691	cheapen.01	ARG2	MNR	instrument
3692	cheap.02	ARG1	PPT	inexpensive thing
3693	cheap.02	ARG3	VSP	cost of cheap thing
3694	cheat.01	ARG0	PAG	entity removing
3695	cheat.01	ARG1	PPT	thing being removed
3696	cheat.01	ARG2	DIR	removed from
3697	cheat.02	ARG0	PAG	cheater
3698	cheat.02	ARG1	PPT	domain in which the cheating occurs
3699	cheat.03	ARG0	PAG	cheater
3700	cheat.03	ARG1	PPT	partner cheated on
3701	cheat.03	ARG2	COM	home-wrecker
3702	check.01	ARG0	PAG	checker
3703	check.01	ARG1	LOC	thing checked
3704	check.01	ARG2	PPT	checked for
3705	check.03	ARG0	PAG	agent, person with pen
3706	check.03	ARG1	PPT	option, box, etc
3707	check.07	ARG0	PAG	controller
3708	check.07	ARG1	PPT	thing that would be uncontrolled otherwise
3709	check.08	ARG0	PAG	controller
3710	check.08	ARG1	PPT	controlled, thing put in check
3711	check_in.02	ARG0	PAG	staff member or other entity enabling the checking in
3712	check_in.02	ARG1	PPT	entity being checked in; future resident
3713	check_in.02	ARG2	GOL	place checked into
3714	check_in.04	ARG0	PAG	confirmer, agent
3715	check_in.04	ARG1	PPT	check in with whom
3716	check_out.09	ARG0	PAG	staff member or other entity enabling the checkout; person being paid
3717	check_out.09	ARG1	PPT	entity being checked out; person leaving
3718	check_out.09	ARG2	GOL	place checked out of
3719	check_out.05	ARG0	PAG	checker
3720	check_out.05	ARG1	LOC	thing checked
3721	check_out.05	ARG2	PPT	checked for
3722	check_up.06	ARG0	PAG	checker
3723	check_up.06	ARG1	LOC	thing checked
3724	check_up.06	ARG2	PPT	checked for
3725	cheep.01	ARG0	PAG	cheep-er
3726	cheer.01	ARG0	PAG	causer of cheer, agent
3727	cheer.01	ARG1	PPT	patient, made cheerful
3728	cheer.01	ARG2	MNR	instrument or manner, only when separate  from agent
3729	cheer.02	ARG0	PAG	clapper
3730	cheer.02	ARG1	GOL	thing approved of
3731	cheer.02	ARG2	CAU	grounds, reason for approval
3732	cheer_up.03	ARG0	PAG	comforter
3733	cheer_up.03	ARG1	PPT	patient, comforted
3734	cheer_up.03	ARG2	MNR	instrument or manner
3735	cheer_on.04	ARG0	PAG	encourager
3736	cheer_on.04	ARG1	PPT	thing encouraged
3737	cheerlead.01	ARG0	PAG	cheerleader
3738	cheerlead.01	ARG1	PPT	event, team, etc.
3739	cheese.01	ARG0	PAG	cheater
3740	cheese.01	ARG1	PPT	cheated
3741	cheese_off.02	ARG0	PAG	cause of irritation
3742	cheese_off.02	ARG1	PPT	irritated entity
3743	cheesy.01	ARG1	PPT	cheesy entity
3744	chelate.01	ARG0	PAG	Entity removing
3745	chelate.01	ARG1	PPT	Thing being removed (e.g. heavy metals)
3746	chelate.01	ARG2	DIR	Removed from (e.g. from bloodstream/patient)
3747	chemoprevent.01	ARG0	PAG	agent
3748	chemoprevent.01	ARG1	PPT	theme, specific cancer whose development is being prevented
3749	chemoprevent.01	ARG2	PPT	secondary predication; thing prevented (e.g. from metastasizing)
3750	chemoprevent.01	ARG3	MNR	instrument (drugs, treatments, etc.)
3751	chemoradiate.01	ARG0	PAG	agent, doctor
3752	chemoradiate.01	ARG1	PPT	patient, entity undergoing chemoradiation
3753	chemoradiate.01	ARG2	VSP	disease
3754	chemosensitive.01	ARG1	PPT	entity who is chemosensitive
3755	chemotherapy.01	ARG0	PAG	agent (physician, therapist)
3756	chemotherapy.01	ARG1	PPT	patient
3757	chemotherapy.01	ARG2	MNR	type
3758	chemotherapy.01	ARG3	CAU	for what (illness)
3759	cherish.01	ARG0	PPT	cherisher
3760	cherish.01	ARG1	PAG	cherished
3761	cherrypick.01	ARG0	PAG	picker
3762	cherrypick.01	ARG1	PPT	entity picked
3763	cherrypick.01	ARG2	DIR	group or source
3764	cherrypick.01	ARG3	GOL	benefactive
3765	chew.01	ARG0	PAG	chewer
3766	chew.01	ARG1	PPT	food
3767	chew_up.02	ARG0	PAG	chewer
3768	chew_up.02	ARG1	PPT	food
3769	chicken_out.01	ARG0	PAG	chicken
3770	chicken_out.01	ARG1	PPT	chickened out of
3771	chide.01	ARG0	PAG	chider, agent
3772	chide.01	ARG1	PPT	recipient of chiding
3773	chide.01	ARG2	PRD	cause
3774	chief.01	ARG1	PPT	primary thing
3775	chief.01	ARG2	DOM	category in which it comes first
3776	childbearing.01	ARG0	PAG	Mother
3777	childish.01	ARG1	PPT	childish entity
3778	childish.01	ARG2	CAU	childish about what?
3779	childrearing.01	ARG0	PAG	parent
3780	chill.01	ARG0	PAG	causer of cooling, agent
3781	chill.01	ARG1	PPT	entity chilled
3782	chill.02	ARG0	PAG	relaxer
3783	chill.02	ARG1	PPT	relaxing activity
3784	chill.03	ARG1	PPT	acceptable thing (may require concatenation)
3785	chilly.04	ARG0	PAG	agent/causer of chilliness
3786	chilly.04	ARG1	PPT	chilly entity
3787	chill_out.05	ARG0	PAG	entity calming down
3788	chill_out.05	ARG1	PPT	agitating subject matter
3789	chime.01	ARG0	PAG	maker of sounds
3790	chime.02	ARG0	PAG	speaker
3791	chime.02	ARG1	PPT	utterance
3792	chime.02	ARG2	GOL	listener
3793	chin.01	ARG0	PAG	puncher
3794	chin.01	ARG1	PPT	entity punched
3795	chinese.01	ARG1	PPT	Chinese entity
3796	chink.01	ARG0	PAG	agent
3797	chink.01	ARG1	GOL	container
3798	chink.01	ARG2	PPT	subtance
3799	chip.01	ARG0	PAG	breaker
3800	chip.01	ARG1	PPT	thing broken
3801	chip.01	ARG2	MNR	instrument
3802	chip.01	ARG3	PRD	pieces
3803	chip_in.02	ARG0	PAG	contributor
3804	chip_in.02	ARG1	PPT	thing contributed
3805	chip_in.02	ARG2	GOL	contributed to
3806	chir.01	ARG0	PPT	thing making chir sound
3807	chirp.01	ARG0	PAG	chirp-er
3808	chirp.02	ARG0	PAG	chirp=er
3809	chirrup.01	ARG0	PAG	chirrup-er
3810	chisel.01	ARG0	PAG	builder
3811	chisel.01	ARG1	PRD	construction
3812	chisel.01	ARG2	VSP	material, start state
3813	chisel.01	ARG4	PRD	end state of arg1
3814	chitchat.01	ARG0	PAG	First or all speakers (where one constituent)
3815	chitchat.01	ARG1	PPT	topic of chitchat
3816	chitchat.01	ARG2	COM	Second chatter (where separate constituents), or hearer
3817	chitter.01	ARG0	PAG	chitter-er
3818	chlorinate.01	ARG0	PAG	agent, cause
3819	chlorinate.01	ARG1	PPT	thing chlorinated
3820	chlorinate.01	ARG2	MNR	chlorine
3821	choke.01	ARG0	PAG	causer of choking, agent
3822	choke.01	ARG1	PPT	entity choked
3823	choke.01	ARG2	PPT	thing choked on
3824	choke.02	ARG0	PAG	causer of filling, agent
3825	choke.02	ARG1	GOL	entity choked
3826	choke_off.03	ARG0	PAG	causer of end, agent
3827	choke_off.03	ARG1	PPT	entity choked off
3828	choke_up.04	ARG0	PAG	emotion
3829	choke_up.04	ARG1	PPT	experiencer
3830	cholecystectomy.01	ARG0	PAG	surgeon
3831	cholecystectomy.01	ARG1	PPT	removed
3832	cholecystectomy.01	ARG2	SRC	removed from
3833	chomp.01	ARG0	PAG	consumer, eater
3834	chomp.01	ARG1	PPT	meal
3835	choose.01	ARG0	PAG	picker
3836	choose.01	ARG1	PPT	thing picked
3837	choose.01	ARG2	DIR	group or source
3838	choose.01	ARG3	GOL	benefactive
3839	choose.01	ARG4	PRD	secondary attribute on arg1
3840	chop.01	ARG0	PAG	chopper
3841	chop.01	ARG1	PPT	chopped
3842	chop.01	ARG2	MNR	instrument
3843	chop_down.02	ARG0	PAG	chopper
3844	chop_down.02	ARG1	PPT	chopped
3845	chop_down.02	ARG2	MNR	instrument
3846	chop_up.03	ARG0	PAG	chopper
3847	chop_up.03	ARG1	PPT	chopped
3848	chop_up.03	ARG2	MNR	instrument
3849	chop_out.04	ARG0	PAG	agent
3850	chop_out.04	ARG1	PRT	segment removed
3851	chop_out.04	ARG2	WHL	removed from
3852	chop_out.04	ARG3	MNR	instrument
3853	choreograph.01	ARG0	PAG	creator
3854	choreograph.01	ARG1	PPT	dance
3855	choreograph.01	ARG2	GOL	created for, beneficiary
3856	chortle.01	ARG0	PAG	chortler (the jabberwocky)
3857	chortle.01	ARG1	PPT	utterance, theme
3858	chortle.01	ARG2	GOL	hearer
3859	chortle.02	ARG0	PAG	chortler
3860	chortle.02	ARG1	PPT	path
3861	chorus.01	ARG0	PAG	singers
3862	chorus.01	ARG1	PPT	utterance, thing sung/communicated
3863	christen.01	ARG0	PAG	assigner of name, agent
3864	christen.01	ARG1	PPT	thing named
3865	christen.01	ARG2	PRD	name
3866	christianize.01	ARG0	PAG	agent, christianizing entity
3867	christianize.01	ARG1	PPT	entity christianized
3868	chrome.01	ARG0	PAG	applier of chrome
3869	chrome.01	ARG1	GOL	thing made chrome
3870	chrome.01	ARG2	PPT	Chrome itself, type of chrome
3871	chronic.01	ARG1	PPT	thing that is long-lasting
3872	chronicle.01	ARG0	PAG	recorder, agent
3873	chronicle.01	ARG1	PPT	thing recorded
3874	chubby.01	ARG1	PPT	chubby one
3875	chuck.01	ARG0	PAG	entity getting rid of something, agent
3876	chuck.01	ARG1	PPT	entity chucked
3877	chuckle.01	ARG0	PAG	chuckler
3878	chuckle.02	ARG0	PAG	speaker
3879	chuckle.02	ARG1	PPT	utterance
3880	chuckle.02	ARG2	GOL	hearer
3881	chug.01	ARG0	PAG	maker of sounds
3882	chug.02	ARG0	PAG	drinker
3883	chug.02	ARG1	PPT	beverage
3884	chug.03	ARG1	PPT	thing in motion
3885	chug.03	ARG2	DIR	path; swamp/terrain chugged through
3886	chug.03	ARG3	GOL	destination
3887	chunk.01	ARG0	PAG	agent chunking
3888	chunk.01	ARG1	PPT	entity put into chunk
3889	chunk.01	ARG2	GOL	chunk itself, group arg1 is chunked into
3890	churn.01	ARG0	PAG	causer of violent motion, agent
3891	churn.01	ARG1	VSP	liquid, thing in motion
3892	churn.01	ARG2	PRD	end product
3893	cinch.01	ARG0	PAG	manipulator of belt, agent
3894	cinch.01	ARG1	PPT	belt
3895	cinch.02	ARG0	PAG	attacher
3896	cinch.02	ARG1	PPT	thing(s) attached
3897	cinch.02	ARG2	PRD	'together' or other attribute of arg1
3898	cinch.03	ARG0	PAG	cause of sureness
3899	cinch.03	ARG1	PPT	sure thing
3900	circle.01	ARG0	PAG	entity moving
3901	circle.02	ARG0	PAG	causer
3902	circle.02	ARG1	PPT	entity forming a circle
3903	circle.02	ARG2	PPT	entity within a circle
3904	circuit.01	ARG0	PAG	tourist
3905	circuit.01	ARG1	PPT	topic, thing toured
3906	circuit.02	ARG0	PAG	entity moving
3907	circuit.02	ARG1	LOC	location/path
3908	circularize.01	ARG0	PAG	agent, cause of dissemination
3909	circularize.01	ARG1	PPT	theme, information/ literature disseminated
3910	circularize.01	ARG2	GOL	recipient of information
3911	circularize.02	ARG0	PAG	Pollster, person/org distrubiting questionnaires, info.
3912	circularize.02	ARG1	GOL	Person polled, sometimes expressed as a location or household
3913	circularize.02	ARG2	PPT	Theme, questionnaire or thing distributed
3914	circulate.01	ARG0	PAG	causer
3915	circulate.01	ARG1	PPT	thing going 'round
3916	circumcise.01	ARG0	PAG	agent, cause
3917	circumcise.01	ARG1	PPT	thing circumcised
3918	circumduct.01	ARG0	PAG	agent
3919	circumduct.01	ARG1	PPT	body part moving conically
3920	circumferential.01	ARG1	SE1	entity surrounding Arg2, acting as a circumference
3921	circumferential.01	ARG2	SE2	surrounded entity, entity that has a circumference
3922	circumnavigate.01	ARG0	PAG	pilot, steerer, agent in charge of motion and path
3923	circumnavigate.01	ARG1	PPT	vessle being steered l
3924	circumnavigate.01	ARG2	LOC	mass navigated around
3925	circumscribe.01	ARG0	PAG	agent, entity imposing limits
3926	circumscribe.01	ARG1	PPT	thing limited, confined
3927	circumscribe.01	ARG2	GOL	mention of limit on arg1, confined to what?
3928	circumstantial.01	ARG1	PAG	circumstantial thing
3929	circumvent.01	ARG0	PAG	avoider
3930	circumvent.01	ARG1	PPT	thing avoided
3931	cite.01	ARG0	PAG	citer
3932	cite.01	ARG1	PPT	thing cited
3933	cite.01	ARG2	PRD	secondary attribute, cited-as
3934	cite.02	ARG0	PAG	giver of ticket
3935	cite.02	ARG1	PPT	entity receiving citation
3936	cite.02	ARG2	CAU	criminal misdeed
3937	civilize.01	ARG0	PAG	agent causing civilization
3938	civilize.01	ARG1	PPT	entity becoming civil
3939	clack.01	ARG0	PAG	causal agent
3940	clack.01	ARG1	PPT	thing actually clacking
3941	clack.01	ARG2	LOC	location of clacking
3942	clack.02	ARG0	PAG	clacking-maker
3943	clack.02	ARG1	PPT	the clack sound
3944	clack.02	ARG2	GOL	hearer
3945	clack.03	ARG0	PAG	speaker
3946	clack.03	ARG1	PPT	his/her tongue
3947	clack.03	ARG2	PPT	topic/ utterance
3948	clack.03	ARG3	GOL	hearer
3949	clad.01	ARG0	PAG	person putting on clothes
3950	clad.01	ARG1	PPT	person wearing clothes, when separate from agent
3951	clad.01	ARG2	PPT	clothes themselves
3952	claim.01	ARG0	PAG	claimer, asserter
3953	claim.01	ARG1	PPT	thing claimed, asserted
3954	claim.01	ARG2	GOL	hearer
3955	claim.02	ARG0	PAG	claim staker
3956	claim.02	ARG1	PPT	property
3957	claim.02	ARG2	GOL	beneficiary
3958	clam.01	ARG0	PAG	agent or causer
3959	clam.01	ARG1	PPT	entity gathered
3960	clam.01	ARG2	PRD	gathered into
3961	clam.01	ARG3	GOL	beneficiary
3962	clamber.01	ARG0	PPT	awkward climber, agent
3963	clamor.01	ARG0	PAG	demander
3964	clamor.01	ARG1	PPT	demanded
3965	clamp.01	ARG0	PAG	attacher, agent causing attachment
3966	clamp.01	ARG1	PPT	first thing being clamped
3967	clamp.01	ARG2	PPT	second thing, clamped to what
