ID	Frameset	Arg	Func	Descr
129	accent.01	ARG2	PPT	decorations
130	accentuate.01	ARG0	PAG	agent
131	accentuate.01	ARG1	PPT	thing accentuated
132	accentuate.01	ARG2	MNR	instrument
133	accept.01	ARG0	PAG	acceptor
134	accept.01	ARG1	PPT	thing accepted
135	accept.01	ARG2	DIR	accepted-from
136	accept.01	ARG3	PRD	attribute
137	acceptable.02	ARG0	PAG	acceptor
138	acceptable.02	ARG1	PPT	thing accepted
139	acceptable.02	ARG2	DIR	accepted from
140	acceptable.02	ARG3	PRD	attribute
141	access.01	ARG0	PAG	accessor
142	access.01	ARG1	PPT	thing accessed
143	accessible.02	ARG0	PAG	accessor
144	accessible.02	ARG1	PPT	thing accessed
145	accession.01	ARG0	PAG	agent
146	accession.01	ARG1	PPT	supplement
147	accession.01	ARG2	PPT	original, group
148	accessorize.01	ARG0	PAG	agent, furnishing entity
149	accessorize.01	ARG1	PPT	entity furnished
150	accessorize.01	ARG2	VSP	furnished with what
151	accident.01	ARG0	PAG	causer of accident, entity who screws up
152	accident.01	ARG1	VSP	type of accident
153	accident.01	ARG2	VSP	accidental action
154	acclaim.01	ARG0	PAG	acclaimer
155	acclaim.01	ARG1	PPT	acclaimed
156	acclaim.01	ARG2	CAU	cause, acclaimed for what?
157	acclimate.01	ARG0	PAG	agent, cause of adjustment
158	acclimate.01	ARG1	PPT	entity becoming accustomed
159	acclimate.01	ARG2	GOL	to what; the new climate
160	acclimatize.01	ARG0	PAG	agent, cause of adjustment
161	acclimatize.01	ARG1	PPT	entity becoming accustomed
162	acclimatize.01	ARG2	GOL	to what; the new climate
163	accommodate.01	ARG0	PAG	accommodater
164	accommodate.01	ARG1	PPT	thing accommodated
165	accompany.01	ARG0	PAG	subject accompanier
166	accompany.01	ARG1	PPT	object accompanied
167	accompany.01	ARG3	DIR	start point
168	accompany.01	ARG4	GOL	end point
169	accomplish.01	ARG0	PAG	doer
170	accomplish.01	ARG1	PPT	deed
171	accord.01	ARG0	PAG	giver
172	accord.01	ARG1	PPT	gift
173	accord.01	ARG2	GOL	given-to
174	accord.02	ARG0	PAG	follower of procedure
175	accord.02	ARG1	PPT	action done
176	accord.02	ARG2	COM	regulations, procedure, or expectations accorded with
177	accord.03	ARG0	PAG	first party in agreement, both parties when mentioned together
178	accord.03	ARG1	PPT	subject of promise, subject/topic pact involves
179	accord.03	ARG2	COM	second party in agreement
